feature,importance
counter_id_mean_target,2900.2
counter_id_std_target,2209.8
hour,1937.8
dayofweek,1720.2
latitude,1506.4
longitude,1346.2
hour_month,1322.4
hour_sin,1165.4
hour_mean_target,1093.2
pmer,1061.0
t,992.8
hour_cos,903.8
u,875.0
ff,790.6
week,769.0
day,735.6
hour_std_target,702.4
location_cluster,690.0
week_sin,617.0
day_sin,473.2
week_cos,432.0
day_cos,373.0
feels_like,285.4
dayofweek_mean_target,272.8
dayofweek_std_target,166.0
month_std_target,140.6
month_cos,124.8
month_sin,116.0
is_working_hour,108.4
is_rainy,108.0
month,103.6
is_morning_rush,93.4
rush_hour_weekend,84.8
month_mean_target,83.0
is_weekend,74.6
is_rush_hour,63.8
is_evening_rush,23.4
rain_intensity,10.8
is_holiday,7.6
year,4.8
is_night,0.0
